game id,Game Name,Provider,link
00000004-0000-5000-9000-000000000063,Fast Money,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000063.png
00000004-0000-5000-9000-000000000064,Flaming Hot,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000064.png
00000004-0000-5000-9000-000000000065,Flaming Hot Extreme,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000065.png
00000004-0000-5000-9000-000000000066,Forest Band,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000066.png
00000004-0000-5000-9000-000000000067,Forest Tale,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000067.png
00000004-0000-5000-9000-000000000068,Fortune Spells,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000068.png
00000004-0000-5000-9000-000000000069,Frog Story,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000069.png
00000004-0000-5000-9000-000000000070,Fruits Kingdom,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000070.png
00000004-0000-5000-9000-000000000071,Game of Luck,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000071.png
00000004-0000-5000-9000-000000000072,Genius of Leonardo,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000072.png
00000004-0000-5000-9000-000000000073,Gold Dust,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000073.png
00000004-0000-5000-9000-000000000074,Grace of Cleopatra,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000074.png
00000004-0000-5000-9000-000000000075,Great 27,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000075.png
00000004-0000-5000-9000-000000000076,Great Adventure,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000076.png
00000004-0000-5000-9000-000000000077,Great Empire,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000077.png
00000004-0000-5000-9000-000000000078,Halloween,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000078.png
00000004-0000-5000-9000-000000000080,Hot and Cash,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000080.png
00000004-0000-5000-9000-000000000081,Ice Valley,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000081.png
00000004-0000-5000-9000-000000000082,Imperial Wars,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000082.png
00000004-0000-5000-9000-000000000083,Inca Gold II,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000083.png
00000004-0000-5000-9000-000000000084,Jacks or Better Poker,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000084.png
00000004-0000-5000-9000-000000000085,Joker Poker,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000085.png
00000004-0000-5000-9000-000000000086,Kangaroo Land,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000086.png
00000004-0000-5000-9000-000000000087,Kashmir Gold,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000087.png
00000004-0000-5000-9000-000000000088,Keno Universe,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000088.png
00000004-0000-5000-9000-000000000089,Knight's Heart,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000089.png
00000004-0000-5000-9000-000000000090,Legendary Rome,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000090.png
00000004-0000-5000-9000-000000000091,Like a Diamond,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000091.png
00000004-0000-5000-9000-000000000092,Lucky & Wild,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000092.png
00000004-0000-5000-9000-000000000093,Lucky Buzz,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000093.png
00000004-0000-5000-9000-000000000094,Lucky Hot,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000094.png
00000004-0000-5000-9000-000000000095,Lucky Wood,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000095.png
00000004-0000-5000-9000-000000000096,Magellan,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000096.png
00000004-0000-5000-9000-000000000097,Majestic Forest,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000097.png
00000004-0000-5000-9000-000000000098,Mayan Spirit,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000098.png
00000004-0000-5000-9000-000000000099,Mini Burning Hot,Egypt Quest,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000099.png
00000004-0000-5000-9000-000000000100,Mini Supreme Hot,Egypt Quest,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000100.png
00000004-0000-5000-9000-000000000101,Mini Ultimate Hot,Egypt Quest,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000101.png
00000004-0000-5000-9000-000000000102,More Dice & Roll,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000102.png
00000004-0000-5000-9000-000000000103,More Like a Diamond,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000103.png
